proposition_id,home_line,correct_outcome_key,incorrect_outcome_key,prop_name,game_id
1acb9960-138a-11ef-99c0-11d412694269,-1.5,MIA,NE,MIA @ NE,401671700
1ca75e40-138a-11ef-9421-4b5b2bd2cbe8,,,WSH,TEN @ WSH,401671743
1d2ae620-138a-11ef-95b6-af3fb566f45b,,,LV,ATL @ LV,401671697
1bece7e0-138a-11ef-95b6-af3fb566f45b,,,BAL,CIN @ BAL,401671810
1b02d600-138a-11ef-95b6-af3fb566f45b,6.5,HOU,NE,HOU @ NE,401671619
1b3c3580-138a-11ef-99c0-11d412694269,3.5,PHI,NYG,PHI @ NYG,401671710
1b76a670-138a-11ef-95b6-af3fb566f45b,4.5,,JAX,GB @ JAX,401671707
1d260420-138a-11ef-95b6-af3fb566f45b,,,SF,LAR @ SF,401671818
1c35d7c0-138a-11ef-9421-4b5b2bd2cbe8,,,PHI,WSH @ PHI,401671813
1d9b3420-138a-11ef-99c0-11d412694269,,,NE,LAC @ NE,401671832
1c38bdf0-138a-11ef-9421-4b5b2bd2cbe8,,,DEN,ATL @ DEN,401671748
1b78a240-138a-11ef-95b6-af3fb566f45b,9.5,,LV,KC @ LV,401671671
1d284e10-138a-11ef-95b6-af3fb566f45b,,,JAX,NYJ @ JAX,401671706
1a57c8f0-138a-11ef-99c0-11d412694269,-5.5,SEA,MIA,MIA @ SEA,401671662
1a1f53d0-138a-11ef-9421-4b5b2bd2cbe8,4.5,MIN,SF,SF @ MIN,401671645
1d5f3c90-138a-11ef-9421-4b5b2bd2cbe8,,,CAR,ARI @ CAR,401671732
19d3cbe0-138a-11ef-95b6-af3fb566f45b,-3.5,MIA,JAX,JAX @ MIA,401671849
1a21ebe0-138a-11ef-9421-4b5b2bd2cbe8,-6.5,HOU,CHI,CHI @ HOU,401671786
1c6e4ce0-138a-11ef-99c0-11d412694269,,,WSH,DAL @ WSH,401671715
1cee7960-138a-11ef-99c0-11d412694269,,,PHI,CAR @ PHI,401671713
1dd5a510-138a-11ef-9421-4b5b2bd2cbe8,,,GB,CHI @ GB,401671844
1b3bc050-138a-11ef-99c0-11d412694269,-2.5,DET,MIN,DET @ MIN,401671724
1ca7ac60-138a-11ef-9421-4b5b2bd2cbe8,,,JAX,HOU @ JAX,401671705
1d2a9800-138a-11ef-95b6-af3fb566f45b,,,MIN,CHI @ MIN,401671489
1ace3170-138a-11ef-99c0-11d412694269,-2.5,DAL,PIT,DAL @ PIT,401671784
1c6ffa90-138a-11ef-99c0-11d412694269,,,SEA,ARI @ SEA,401671775
1b765850-138a-11ef-95b6-af3fb566f45b,2.5,,WSH,CHI @ WSH,401671599
1d9ae600-138a-11ef-99c0-11d412694269,,,LAR,ARI @ LAR,401671829
1c390c10-138a-11ef-9421-4b5b2bd2cbe8,,,SF,SEA @ SF,401671757
1d5c7d70-138a-11ef-9421-4b5b2bd2cbe8,,,KC,HOU @ KC,401671780
1cec5680-138a-11ef-99c0-11d412694269,,,DET,GB @ DET,401671814
1d9c4590-138a-11ef-99c0-11d412694269,,,BUF,NYJ @ BUF,401671495
1a223a00-138a-11ef-9421-4b5b2bd2cbe8,-6.5,ATL,PHI,ATL @ PHI,401671691
1c6e9b00-138a-11ef-99c0-11d412694269,,,CAR,KC @ CAR,401671651
19d41a00-138a-11ef-95b6-af3fb566f45b,-4.5,NO,CAR,CAR @ NO,401671734
1b04d1d0-138a-11ef-95b6-af3fb566f45b,2.5,PIT,LV,PIT @ LV,401671657
1d2a49e0-138a-11ef-95b6-af3fb566f45b,,,SEA,GB @ SEA,401671796
1a55cd20-138a-11ef-99c0-11d412694269,-2.5,GB,TEN,GB @ TEN,401671823
1bb66e90-138a-11ef-9421-4b5b2bd2cbe8,,,ARI,CHI @ ARI,401671661
1b392841-138a-11ef-99c0-11d412694269,1.5,DEN,NO,DEN @ NO,401671816
1d5ec760-138a-11ef-9421-4b5b2bd2cbe8,,,WSH,PHI @ WSH,401671717
1acde350-138a-11ef-99c0-11d412694269,-6.5,NYG,SEA,NYG @ SEA,401671680
1d611150-138a-11ef-9421-4b5b2bd2cbe8,,,GB,NO @ GB,401671692
1b3e0a40-138a-11ef-99c0-11d412694269,2.5,ARI,LAC,LAC @ ARI,401671699
1bf01c30-138a-11ef-95b6-af3fb566f45b,,,DAL,PHI @ DAL,401671676
1bb3d680-138a-11ef-9421-4b5b2bd2cbe8,,,BUF,MIA @ BUF,401671493
1cef3cb0-138a-11ef-99c0-11d412694269,,,TB,LV @ TB,401671654
1c367400-138a-11ef-9421-4b5b2bd2cbe8,,,CHI,GB @ CHI,401671869
1d9a97e0-138a-11ef-99c0-11d412694269,,,CIN,DEN @ CIN,401671835
1dd7a0e0-138a-11ef-9421-4b5b2bd2cbe8,,,NYJ,MIA @ NYJ,401671833
1befce10-138a-11ef-95b6-af3fb566f45b,,,LAC,TEN @ LAC,401671751
1c6ee920-138a-11ef-99c0-11d412694269,,,HOU,TEN @ HOU,401671858
1a586530-138a-11ef-99c0-11d412694269,6.5,LAR,SF,SF @ LAR,401671772
19d46820-138a-11ef-95b6-af3fb566f45b,1.5,MIN,NYG,MIN @ NYG,401671712
1bb6bcb0-138a-11ef-9421-4b5b2bd2cbe8,,,GB,DET @ GB,401671767
1a557f00-138a-11ef-99c0-11d412694269,-6.5,NYG,CLE,NYG @ CLE,401671855
1d29fbc0-138a-11ef-95b6-af3fb566f45b,,,LAC,TB @ LAC,401671762
1a8f0590-138a-11ef-9421-4b5b2bd2cbe8,-3.5,WSH,ARI,WSH @ ARI,401671755
1b0287e0-138a-11ef-95b6-af3fb566f45b,0.5,IND,TEN,IND @ TEN,401671820
1bb424a0-138a-11ef-9421-4b5b2bd2cbe8,,,CIN,LV @ CIN,401671704
1c36c220-138a-11ef-9421-4b5b2bd2cbe8,,,DET,JAX @ DET,401671642
1d9a49c0-138a-11ef-99c0-11d412694269,,,CHI,SEA @ CHI,401671876
1c6f3740-138a-11ef-99c0-11d412694269,,,LV,DEN @ LV,401671656
1a581710-138a-11ef-99c0-11d412694269,0.5,BAL,DAL,BAL @ DAL,401671763
1d993850-138a-11ef-99c0-11d412694269,,,PIT,KC @ PIT,401671799
19d4b640-138a-11ef-95b6-af3fb566f45b,-3.5,LAC,LV,LV @ LAC,401671659
1b043590-138a-11ef-95b6-af3fb566f45b,-6.5,BAL,WSH,WSH @ BAL,401671625
1a566960-138a-11ef-99c0-11d412694269,2.5,MIN,HOU,HOU @ MIN,401671646
1d29ada0-138a-11ef-95b6-af3fb566f45b,,,ARI,NE @ ARI,401671677
1bee2060-138a-11ef-95b6-af3fb566f45b,,,IND,BUF @ IND,401671863
1acc0e90-138a-11ef-99c0-11d412694269,-3.5,WSH,CLE,CLE @ WSH,401671718
1d607510-138a-11ef-9421-4b5b2bd2cbe8,,,MIA,SF @ MIA,401671874
1b3d6e00-138a-11ef-99c0-11d412694269,0.5,PIT,NYJ,NYJ @ PIT,401671785
1c6d3b70-138a-11ef-99c0-11d412694269,,,IND,DET @ IND,401671866
1d99fba0-138a-11ef-99c0-11d412694269,,,HOU,BAL @ HOU,401671800
1b756df0-138a-11ef-95b6-af3fb566f45b,-11.5,,DET,TEN @ DET,401671720
1c371040-138a-11ef-9421-4b5b2bd2cbe8,,,TEN,MIN @ TEN,401671824
1dd704a0-138a-11ef-9421-4b5b2bd2cbe8,,,LAR,SEA @ LAR,401671830
1c6f8560-138a-11ef-99c0-11d412694269,,,GB,SF @ GB,401671768
1b0483b0-138a-11ef-95b6-af3fb566f45b,2.5,LAC,DEN,LAC @ DEN,401671655
1ca673e0-138a-11ef-9421-4b5b2bd2cbe8,,,MIN,ARI @ MIN,401671726
1dd46c90-138a-11ef-9421-4b5b2bd2cbe8,,,DAL,WSH @ DAL,401671840
1a561b40-138a-11ef-99c0-11d412694269,-1.5,IND,CHI,CHI @ IND,401671865
1d5ddd00-138a-11ef-9421-4b5b2bd2cbe8,,,CHI,DET @ CHI,401671868
1a20da70-138a-11ef-9421-4b5b2bd2cbe8,-9.5,LV,BAL,LV @ BAL,401671624
1b3dbc20-138a-11ef-99c0-11d412694269,3.5,BAL,TB,BAL @ TB,401671695
1d60c330-138a-11ef-9421-4b5b2bd2cbe8,,,DAL,TB @ DAL,401671790
1d9e8f80-138a-11ef-99c0-11d412694269,,,SF,DET @ SF,401671698
1ca429f0-138a-11ef-9421-4b5b2bd2cbe8,,,DET,CHI @ DET,401671492
1c375e60-138a-11ef-9421-4b5b2bd2cbe8,,,MIA,LV @ MIA,401671851
