week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
12,CAR,KC,401671651,1c6e9b00-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,HOU,TEN,401671858,1c6ee920-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,LV,DEN,401671656,1c6f3740-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,GB,SF,401671768,1c6f8560-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,SEA,ARI,401671775,1c6ffa90-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,LAR,PHI,401671794,1c7048b0-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,LAC,BAL,401671689,1c7096d0-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
13,DET,CHI,401671492,1ca429f0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,DAL,NYG,401671779,1ca49f20-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,GB,MIA,401671798,1ca4ed40-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,KC,LV,401671806,1ca53b60-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,ATL,LAC,401671649,1ca5b090-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,CIN,PIT,401671627,1ca5feb0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,MIN,ARI,401671726,1ca673e0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,NE,IND,401671620,1ca6c200-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,NYJ,SEA,401671703,1ca71020-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,WSH,TEN,401671743,1ca75e40-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,JAX,HOU,401671705,1ca7ac60-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,NO,LAR,401671753,1ca7fa80-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,CAR,TB,401671752,1ca848a0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,BAL,PHI,401671666,1ca896c0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
